id,favorite.sea
178,Bering Sea
92,Gulf of Alaska
25,Ligurian Sea
719,Chilean Sea
16,Norwegian Sea
725,Caspian Sea
959,Banda Sea
315,Philippine Sea
697,Gulf of Mexico
314,Bering Sea
662,Labrador Sea
326,Sulu Sea
66,Sea of Japan
950,Labrador Sea
704,Caribbean Sea
285,Philippine Sea
121,Yellow Sea
700,Philippine Sea
961,Andaman Sea
648,Aegean Sea
898,Southern Ocean
116,Philippine Sea
988,Southern Ocean
902,Celebes Sea
972,Gulf of St Lawrence
270,Tasman Sea
678,Banda Sea
44,South China Sea
999,Labrador Sea
924,Gulf of Alaska
485,Yellow Sea
509,Labrador Sea
646,Ligurian Sea
33,Bering Sea
780,Greenland Sea
21,Greenland Sea
400,Southern Ocean
264,Norwegian Sea
929,Java Sea
243,East China Sea
883,Sulu Sea
96,Red Sea
386,East China Sea
995,Barents Sea
508,Gulf of St Lawrence
260,Tasman Sea
918,Yellow Sea
157,Java Sea
512,Gulf of Alaska
17,Arabian Sea
563,Arabian Sea
500,Java Sea
297,Mediterranean Sea
925,Caspian Sea
584,Caribbean Sea
689,Caribbean Sea
299,Caribbean Sea
973,Adriatic Sea
419,Gulf of Mexico
220,South China Sea
816,South China Sea
290,Aegean Sea
845,Greenland Sea
51,Java Sea
29,Mediterranean Sea
185,Aegean Sea
542,East China Sea
464,Caribbean Sea
591,Chilean Sea
164,Ligurian Sea
119,Caribbean Sea
399,Tyrrhenian Sea
102,Coral Sea
489,East China Sea
365,Baltic Sea
736,Philippine Sea
565,Greenland Sea
815,Labrador Sea
471,Chilean Sea
628,Baltic Sea
201,Tyrrhenian Sea
15,Aegean Sea
857,Norwegian Sea
531,Bering Sea
642,Sea of Japan
990,Adriatic Sea
911,Coral Sea
163,Mediterranean Sea
550,Bering Sea
193,Arabian Sea
487,Gulf of St Lawrence
222,Bering Sea
324,Andaman Sea
752,Adriatic Sea
307,Coral Sea
269,Barents Sea
669,Caribbean Sea
301,Sea of Japan
304,Barents Sea
258,Philippine Sea
414,Banda Sea
573,Aegean Sea
105,Southern Ocean
536,Barents Sea
194,Sulu Sea
429,Sea of Japan
195,Tyrrhenian Sea
944,Gulf of St Lawrence
347,Barents Sea
249,Gulf of Alaska
467,Greenland Sea
569,Bering Sea
741,Southern Ocean
824,Ryukyu Sea
231,Celebes Sea
411,South China Sea
884,Caribbean Sea
284,Labrador Sea
367,East China Sea
922,Gulf of Mexico
215,Caspian Sea
953,Bering Sea
746,Gulf of Alaska
147,Bering Sea
263,Southern Ocean
718,Labrador Sea
296,Banda Sea
901,Mediterranean Sea
631,Banda Sea
292,Gulf of St Lawrence
348,Chilean Sea
625,Andaman Sea
145,Coral Sea
688,Southern Ocean
771,Andaman Sea
302,Caribbean Sea
54,Barents Sea
840,Aegean Sea
106,Barents Sea
251,Celebes Sea
138,Red Sea
55,Ryukyu Sea
182,Caspian Sea
