,Article_Name,Article_Image_Count
0,"Goldasht, Lamerd",1.0
1,The Rabbits' Wedding,1.0
2,Ballot Monkeys,0.0
3,Tepuihyla shushupe,1.0
4,Resni.ca,0.0
5,Samhah,2.0
6,Alton Abbey,1.0
7,Gymnogeophagus tiraparae,2.0
8,Karges Furniture,0.0
9,Tennis (paper game),2.0
10,Nando (futsal player),0.0
11,Newton County Jail,3.0
12,Abdullah bin Isa Al Khalifa,0.0
13,Sink or Swim (1990 film),0.0
14,List of Alicante citizens,0.0
15,Nivelles-Baulers,2.0
16,Trinity's Child,1.0
17,List of 2020 Women's March locations (October),0.0
18,Richard Jupp,1.0
19,Jewish adjacent,0.0
20,Ibigawa,5.0
21,Between Friends (1973 film),0.0
22,"Wayne Township, Marion County, Indiana",2.0
23,Kumrabaria Union,1.0
24,Silk Road Race,1.0
25,FC Zorkiy Krasnogorsk,1.0
26,Pink Anderson,2.0
27,Gmina Branice,1.0
28,Song 2,1.0
29,"Solar eclipse of February 26, 2017",90.0
30,Apistoloricaria listrorhinos,0.0
31,John Kelly (Royal Navy officer),4.0
32,Maija Lång,0.0
33,Qristina Ribohn,0.0
34,Fatou Jaw-Manneh,0.0
35,Euphaedra disjuncta,0.0
36,M79 grenade launcher,9.0
37,Irina Gorbacheva,1.0
38,Franz Abbé,0.0
39,Antonio da Fabriano,1.0
40,Happening '68,0.0
41,"Ballon, Charente-Maritime",6.0
42,PySCF,0.0
43,Pseudo-finite field,0.0
44,Declan Frith,0.0
45,Tervola,3.0
46,Polvadera Group,10.0
47,Abraeomorphus,0.0
48,Yekkeh Tut-e Pain,1.0
49,Small nucleolar RNA Z178,1.0
50,T. J. Slaughter,0.0
51,Lycium australe,1.0
52,Action stroke dance notation,0.0
53,Acanthoscelides alboscutellatus,0.0
54,Dawut Abdurehim,0.0
55,USS Mitchell,3.0
56,Randall T. Eng,0.0
57,Joseph Van De Meulebroeck,2.0
58,List of University of Maryland Francis King Carey School of Law alumni,0.0
59,Sodium tetrasulfide,2.0
60,Intrepid (1829 ship),0.0
61,Dogsomyn Ganbold,0.0
62,2018 Fuzion 100 Surbiton Trophy,0.0
63,Boycott (2021 film),2.0
64,Tecolotlán,5.0
65,Geneviève Simard,1.0
66,Heinrich Bernhard Oppenheim,0.0
67,Lumde,1.0
68,"State Theatre (Benton Harbor, Michigan)",1.0
69,Bedik language,0.0
70,Brent Sancho,1.0
71,Egyptian Petroleum Research Institute,1.0
72,Mahito Yokota,0.0
73,"Corbu, Dondușeni",1.0
74,2017 Aegon Southsea Trophy,0.0
75,Carina Baltrip-Reyes,0.0
76,Ezira,0.0
77,Lanzhou beef noodle soup,6.0
78,Leuconitocris microphthalma,0.0
79,John Wilkinson Taylor (politician),0.0
80,Rhonda Copelon,0.0
81,Joy Smithers,0.0
82,1221,1.0
83,Nancy Bonini,2.0
84,Suzhou Lakeside New City,0.0
85,Whole World Is Watching,1.0
86,"Granada, Minnesota",2.0
87,Eddie Taylor,0.0
88,The Leopard (1963 film),5.0
89,Bartolomeo Olivieri,0.0
90,Martin Tritschler,2.0
91,Virginia Ryan,0.0
92,Biturix venosata,0.0
93,Hardy Brown,0.0
94,Gori (actress),0.0
95,1928 Chatham Cup,0.0
96,Lauren Barnette,0.0
97,James Seehafer,1.0
98,Donald D. Chamberlin,1.0
99,The Slingshot (film),0.0
100,Astrakhan Airlines,1.0
101,Leptojulis cyanopleura,2.0
102,A Buncha Girls,1.0
103,Aéroports du Mali,0.0
104,President Ho Chi Minh's Testament,4.0
105,Stenoma hyalocryptis,0.0
106,Dasaki Stadium,2.0
107,HMS Odiham (M2783),0.0
108,Glen Ridge rape,1.0
109,Sushil Bhattacharya,0.0
110,2022–23 Xavier Musketeers men's basketball team,1.0
111,Electronic monitoring in the United States,7.0
112,W. E. Mauger House,3.0
113,Akshay Kodoth,0.0
114,Mike Harcourt,2.0
115,Piaseczno,8.0
116,USCS Baltimore,0.0
117,List of people with post-traumatic stress disorder,10.0
118,1971 Uruguayan general election,3.0
119,Boevange,1.0
120,Beresford Stakes,109.0
121,Henry Goldsmith,0.0
122,"Koubéogo, Ganzourgou",1.0
123,Diggy Liggy Lo,0.0
124,Panama–Peru relations,4.0
125,Kedar Gurung,0.0
126,Cyclothiazomycin,3.0
127,Studio FOW,0.0
128,WEEP (Minnesota),0.0
129,TUBE1,4.0
130,Salar de Arizaro,7.0
131,Squad 85,1.0
132,Gavin Massey,4.0
133,Current Cancer Drug Targets,0.0
134,Annabelle Terhune,1.0
135,Mahurangi Island (Goat Island),1.0
136,Neal Bledsoe,0.0
137,Euphoria Tour (Enrique Iglesias),1.0
138,Solly Granatstein,2.0
139,1927 Melbourne Carnival,2.0
